path,filename,label,Question,original_text,Request,token_repeat_3,sentence_repeat_3,token_repeat_5,sentence_repeat_5,token_repeat_10,sentence_repeat_10
../data/image/purse/n04026417_1335.JPEG,n04026417_1335,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of fabric is used for these earrings?,"The earrings feature a vibrant, patterned fabric with a mix of green, blue, and white colors.",The earrings feature a vibrant vibrant vibrant vibrant,The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant,The earrings feature a vibrant vibrant vibrant vibrant vibrant vibrant,The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant,The earrings feature a vibrant vibrant vibrant vibrant vibrant vibrant vibrant vibrant vibrant vibrant vibrant,The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant The earrings feature a vibrant
../data/image/purse/n04026417_27309.JPEG,n04026417_27309,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of fabric is used for the bag in the picture?,The bag in the picture is made from patchwork fabric featuring various patterns and colors.,The bag in the picture is made from patchwork fabric featuring various patterns and colors colors colors colors,The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors,The bag in the picture is made from patchwork fabric featuring various patterns and colors colors colors colors colors colors,The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors,The bag in the picture is made from patchwork fabric featuring various patterns and colors colors colors colors colors colors colors colors colors colors colors,The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors The bag in the picture is made from patchwork fabric featuring various patterns and colors
../data/image/purse/n04026417_7043.JPEG,n04026417_7043,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What is the purpose of the pink tag attached to the black and red floral pouch?,"The pink tag attached to the black and red floral pouch likely contains information about the product's brand, model number, or care instructions.",The pink tag attached to the black and red floral pouch likely contains information about the product's brand brand brand brand,The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand,The pink tag attached to the black and red floral pouch likely contains information about the product's brand brand brand brand brand brand,The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand,The pink tag attached to the black and red floral pouch likely contains information about the product's brand brand brand brand brand brand brand brand brand brand brand,The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand The pink tag attached to the black and red floral pouch likely contains information about the product's brand
../data/image/purse/n04026417_17473.JPEG,n04026417_17473,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of knitting pattern was used to create the bag shown in the picture?,The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest.,The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest interest interest interest,The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest,The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest interest interest interest interest interest,The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest,The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest interest interest interest interest interest interest interest interest interest interest,The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest The bag in the picture was created using a textured knit pattern that includes cables and bobbles for added texture and interest
../data/image/purse/n04026417_15020.JPEG,n04026417_15020,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What design elements can be seen on the red and white fabric item in the picture?,"The red and white fabric item features a crown, a spoon, and a heart design, all embroidered onto the fabric.",The red and white fabric item features a crown crown crown crown,The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown,The red and white fabric item features a crown crown crown crown crown crown,The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown,The red and white fabric item features a crown crown crown crown crown crown crown crown crown crown crown,The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown The red and white fabric item features a crown
../data/image/necklace/n03814906_5455.JPEG,n03814906_5455,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is displayed in the picture?,"The image displays a delicate necklace featuring shell pendants, coral beads, and gold accents.",The image displays a delicate necklace featuring shell pendants pendants pendants pendants,The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants,The image displays a delicate necklace featuring shell pendants pendants pendants pendants pendants pendants,The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants,The image displays a delicate necklace featuring shell pendants pendants pendants pendants pendants pendants pendants pendants pendants pendants pendants,The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants The image displays a delicate necklace featuring shell pendants
../data/image/necklace/n03814906_25181.JPEG,n03814906_25181,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is depicted in the picture?,"The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross, adorned with red gemstones.",The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross cross cross cross,The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross,The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross cross cross cross cross cross,The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross,The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross cross cross cross cross cross cross cross cross cross cross,The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross The image shows a necklace featuring a long chain with a decorative pendant that resembles a sword or cross
../data/image/necklace/n03814906_39320.JPEG,n03814906_39320,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is displayed in the picture?,The image displays a necklace made of colorful beads and threads.,The image displays a necklace made of colorful beads and threads threads threads threads,The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads,The image displays a necklace made of colorful beads and threads threads threads threads threads threads,The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads,The image displays a necklace made of colorful beads and threads threads threads threads threads threads threads threads threads threads threads,The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads The image displays a necklace made of colorful beads and threads
../data/image/necklace/n03814906_31762.JPEG,n03814906_31762,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What is the significance of the necklace with the pendant featuring a portrait?,"The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity, as it holds a cherished memory or photograph.",The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity identity identity identity,The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity,The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity identity identity identity identity identity,The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity,The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity identity identity identity identity identity identity identity identity identity identity,The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity The necklace with the pendant featuring a portrait symbolizes personalization and the wearer's unique identity
../data/image/necklace/n03814906_86087.JPEG,n03814906_86087,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is displayed in the picture?,"The image displays a necklace made of clear, faceted beads connected by a silver clasp.",The image displays a necklace made of clear clear clear clear,The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear,The image displays a necklace made of clear clear clear clear clear clear,The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear,The image displays a necklace made of clear clear clear clear clear clear clear clear clear clear clear,The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear The image displays a necklace made of clear
