path,filename,label,Question,original_text,Request,token_repeat_3,sentence_repeat_3,token_repeat_5,sentence_repeat_5,token_repeat_10,sentence_repeat_10
../data/image/purse/n04026417_1335.JPEG,n04026417_1335,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of fabric is used for these earrings?,cotton,cotton cotton cotton cotton,cotton cotton cotton,cotton cotton cotton cotton cotton cotton,cotton cotton cotton cotton cotton,cotton cotton cotton cotton cotton cotton cotton cotton cotton cotton cotton,cotton cotton cotton cotton cotton cotton cotton cotton cotton cotton
../data/image/purse/n04026417_27309.JPEG,n04026417_27309,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of fabric is used for the bag in the picture?,patchwork,patchwork patchwork patchwork patchwork,patchwork patchwork patchwork,patchwork patchwork patchwork patchwork patchwork patchwork,patchwork patchwork patchwork patchwork patchwork,patchwork patchwork patchwork patchwork patchwork patchwork patchwork patchwork patchwork patchwork patchwork,patchwork patchwork patchwork patchwork patchwork patchwork patchwork patchwork patchwork patchwork
../data/image/purse/n04026417_7043.JPEG,n04026417_7043,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What is the purpose of the pink tag attached to the black and red floral pouch?,identification,identification identification identification identification,identification identification identification,identification identification identification identification identification identification,identification identification identification identification identification,identification identification identification identification identification identification identification identification identification identification identification,identification identification identification identification identification identification identification identification identification identification
../data/image/purse/n04026417_17473.JPEG,n04026417_17473,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of knitting pattern was used to create the bag shown in the picture?,cable,cable cable cable cable,cable cable cable,cable cable cable cable cable cable,cable cable cable cable cable,cable cable cable cable cable cable cable cable cable cable cable,cable cable cable cable cable cable cable cable cable cable
../data/image/purse/n04026417_15020.JPEG,n04026417_15020,purse,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What design elements can be seen on the red and white fabric item in the picture?,The red and white fabric item in the picture features a crown and a spoon.,The red and white fabric item in the picture features a crown and a spoon spoon spoon spoon,The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon,The red and white fabric item in the picture features a crown and a spoon spoon spoon spoon spoon spoon,The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon,The red and white fabric item in the picture features a crown and a spoon spoon spoon spoon spoon spoon spoon spoon spoon spoon spoon,The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon The red and white fabric item in the picture features a crown and a spoon
../data/image/necklace/n03814906_5455.JPEG,n03814906_5455,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is displayed in the picture?,The jewelry displayed in the picture is a necklace.,The jewelry displayed in the picture is a necklace necklace necklace necklace,The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace,The jewelry displayed in the picture is a necklace necklace necklace necklace necklace necklace,The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace,The jewelry displayed in the picture is a necklace necklace necklace necklace necklace necklace necklace necklace necklace necklace necklace,The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace The jewelry displayed in the picture is a necklace
../data/image/necklace/n03814906_25181.JPEG,n03814906_25181,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is depicted in the picture?,The picture depicts a necklace with a pendant and a chain.,The picture depicts a necklace with a pendant and a chain chain chain chain,The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain,The picture depicts a necklace with a pendant and a chain chain chain chain chain chain,The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain,The picture depicts a necklace with a pendant and a chain chain chain chain chain chain chain chain chain chain chain,The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain The picture depicts a necklace with a pendant and a chain
../data/image/necklace/n03814906_39320.JPEG,n03814906_39320,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is displayed in the picture?,necklace,necklace necklace necklace necklace,necklace necklace necklace,necklace necklace necklace necklace necklace necklace,necklace necklace necklace necklace necklace,necklace necklace necklace necklace necklace necklace necklace necklace necklace necklace necklace,necklace necklace necklace necklace necklace necklace necklace necklace necklace necklace
../data/image/necklace/n03814906_31762.JPEG,n03814906_31762,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What is the significance of the necklace with the pendant featuring a portrait?,"The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory, showcasing the wearer's individuality and creativity. The portrait, which is likely a representation of a loved one or a favorite person, adds a sentimental touch to the necklace, making it a special and meaningful piece of jewelry.",The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory accessory accessory accessory,The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory,The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory accessory accessory accessory accessory accessory,The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory,The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory accessory accessory accessory accessory accessory accessory accessory accessory accessory accessory,The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory The significance of the necklace with the pendant featuring a portrait is that it serves as a unique and personalized accessory
../data/image/necklace/n03814906_86087.JPEG,n03814906_86087,necklace,"Please generate a question based on this picture. For example, 'What is in this picture' or 'What is on the table in the picture'. The question needs to be related to the picture and be a question. Do not copy the example, you need to write new content.",What type of jewelry is displayed in the picture?,necklace,necklace necklace necklace necklace,necklace necklace necklace,necklace necklace necklace necklace necklace necklace,necklace necklace necklace necklace necklace,necklace necklace necklace necklace necklace necklace necklace necklace necklace necklace necklace,necklace necklace necklace necklace necklace necklace necklace necklace necklace necklace
